id,desafio_id,letra,texto,ods_diretos,ods_indiretos,profundidade,justificativa_profundidade,planejamento_pesos,ferramentas_pesos,created_at,updated_at,gs_project_id,gs_table_name
alt-dona-joana-a,desafio-dona-joana,A,"Criar uma campanha de conscientização com cartazes no refeitório, pedindo para os alunos não desperdiçarem comida.","[""12 — Consumo e Produção Responsáveis""]","[""4 — Educação de Qualidade""]",Paliativa,"A campanha alerta sobre o desperdício, mas não resolve a causa raiz (cardápio repetitivo e horta abandonada).","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Recomendada""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Essencial""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Recomendada""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Irrelevante""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Irrelevante""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Recomendada""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Irrelevante""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Essencial""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Irrelevante""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Irrelevante""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Recomendada""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Essencial""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Irrelevante""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Essencial""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Irrelevante""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Irrelevante""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Irrelevante""}]",1784176025871,1784176025871,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-dona-joana-b,desafio-dona-joana,B,Implementar um cardápio participativo (os alunos ajudam a escolher os pratos) e reviver a horta da escola para usar os alimentos na merenda.,"[""2 — Fome Zero e Agricultura Sustentável"",""12 — Consumo e Produção Responsáveis"",""15 — Vida Terrestre""]","[""3 — Saúde e Bem-Estar"",""4 — Educação de Qualidade"",""11 — Cidades e Comunidades Sustentáveis""]",Sistêmica,"Ataca a causa raiz (falta de engajamento e produção local), integrando alunos e horta ao processo, sem ainda ser uma solução replicável em outras escolas.","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Essencial""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Essencial""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Essencial""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Essencial""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Recomendada""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Recomendada""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Recomendada""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Recomendada""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Essencial""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Essencial""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Essencial""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Recomendada""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Irrelevante""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Irrelevante""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Recomendada""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Irrelevante""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Irrelevante""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Essencial""}]",1784176025871,1784176025871,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-dona-joana-c,desafio-dona-joana,C,"Desenvolver um aplicativo de cardápio interativo com IA, que sugere receitas com os ingredientes disponíveis e reduz o desperdício.","[""9 — Indústria, Inovação e Infraestrutura"",""12 — Consumo e Produção Responsáveis""]","[""4 — Educação de Qualidade"",""17 — Parcerias e Meios de Implementação""]",Sistêmica,"Usa tecnologia para atacar a causa raiz (planejamento ineficiente do cardápio e do estoque), mas depende de infraestrutura técnica para funcionar bem.","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Recomendada""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Essencial""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Recomendada""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Recomendada""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Essencial""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Essencial""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Recomendada""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Recomendada""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Essencial""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Essencial""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Recomendada""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Irrelevante""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Essencial""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Recomendada""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Recomendada""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Essencial""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Irrelevante""}]",1784176025871,1784176025871,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-torneira-a,desafio-torneira-nunca-fecha,A,"O Cartaz Consciente: criar uma campanha com cartazes colados ao lado do bebedouro, alertando sobre o desperdício de água e pedindo que os alunos fechem bem a torneira após o uso.","[""6 — Água Potável e Saneamento""]","[""4 — Educação de Qualidade""]",Paliativa,"Resolve apenas o sintoma do desperdício (a torneira pingando) através de conscientização, sem alterar a estrutura física ou a causa raiz do problema.","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Essencial""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Recomendada""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Recomendada""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Irrelevante""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Recomendada""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Essencial""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Irrelevante""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Essencial""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Recomendada""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Irrelevante""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Recomendada""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Essencial""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Irrelevante""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Essencial""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Irrelevante""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Recomendada""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Irrelevante""}]",1784230454416,1784230454416,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-torneira-b,desafio-torneira-nunca-fecha,B,"O Projeto de Reengenharia: desenvolver um sistema de captação da água que pinga, usando canos de PVC reciclados e uma pequena cisterna. A água coletada seria usada para regar a horta da escola, que atualmente depende de água da rua.","[""6 — Água Potável e Saneamento"",""12 — Consumo e Produção Responsáveis"",""15 — Vida Terrestre""]","[""3 — Saúde e Bem-Estar"",""4 — Educação de Qualidade""]",Sistêmica,"Ataca a causa raiz reaproveitando a água desperdiçada em um sistema físico (captação), conectando dois problemas da escola (desperdício de água e falta de irrigação para a horta), mas ainda é um projeto isolado.","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Essencial""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Recomendada""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Essencial""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Recomendada""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Essencial""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Essencial""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Recomendada""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Recomendada""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Essencial""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Recomendada""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Essencial""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Essencial""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Irrelevante""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Recomendada""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Essencial""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Irrelevante""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Recomendada""}]",1784230454416,1784230454416,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-torneira-c,desafio-torneira-nunca-fecha,C,"A Escola Sustentável: combinar as ideias anteriores em um único projeto integrado: consertar a torneira com sistema de baixo custo, instalar captação da água para a horta, criar um aplicativo de monitoramento de manutenção e realizar oficinas com alunos mais novos sobre uso consciente da água.","[""6 — Água Potável e Saneamento"",""9 — Indústria, Inovação e Infraestrutura"",""12 — Consumo e Produção Responsáveis"",""15 — Vida Terrestre""]","[""3 — Saúde e Bem-Estar"",""4 — Educação de Qualidade"",""11 — Cidades e Comunidades Sustentáveis"",""17 — Parcerias e Meios de Implementação""]",Transformadora,"Integra solução física, tecnológica (app de monitoramento) e educativa (oficinas), criando um sistema replicável que pode ser levado a outras escolas e sustentado a longo prazo.","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Essencial""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Essencial""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Essencial""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Essencial""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Essencial""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Essencial""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Essencial""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Essencial""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Essencial""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Essencial""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Essencial""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Essencial""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Essencial""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Essencial""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Essencial""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Recomendada""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Recomendada""}]",1784230454416,1784230454416,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-escola-desconectada-a,desafio-escola-desconectada,A,"O Mural Digital Voluntário: criar um perfil no Instagram gerenciado por alunos voluntários, que postam diariamente as informações importantes: alterações de horário, eventos, ausência de professores.","[""4 — Educação de Qualidade""]","[""9 — Indústria, Inovação e Infraestrutura""]",Paliativa,"Depende de voluntários informais e de uma única rede social, sem estrutura oficial — resolve o sintoma da desinformação sem mudar o processo de comunicação da escola.","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Essencial""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Recomendada""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Recomendada""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Irrelevante""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Recomendada""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Essencial""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Irrelevante""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Essencial""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Recomendada""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Recomendada""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Recomendada""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Irrelevante""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Irrelevante""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Essencial""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Essencial""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Recomendada""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Irrelevante""}]",1784230454416,1784230454416,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-escola-desconectada-b,desafio-escola-desconectada,B,"O Aplicativo da Escola: desenvolver um aplicativo simples (usando App Inventor ou Glide) onde alunos e professores possam consultar horários, comunicados oficiais, cardápio da merenda e eventos, com atualização centralizada pela secretaria.","[""9 — Indústria, Inovação e Infraestrutura"",""4 — Educação de Qualidade""]","[""16 — Paz, Justiça e Instituições Eficazes""]",Sistêmica,"Cria uma ferramenta oficial e centralizada, mudando a forma como a escola gerencia a comunicação, mas ainda depende de um único canal (o aplicativo).","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Essencial""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Essencial""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Essencial""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Recomendada""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Essencial""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Recomendada""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Essencial""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Essencial""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Recomendada""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Essencial""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Essencial""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Irrelevante""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Essencial""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Recomendada""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Recomendada""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Recomendada""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Irrelevante""}]",1784230454416,1784230454416,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-escola-desconectada-c,desafio-escola-desconectada,C,"O Ecossistema de Comunicação Integrada: criar um sistema integrado que combine um aplicativo escolar, um painel digital na entrada da escola (com TV reciclada), um chatbot de IA para responder dúvidas frequentes dos alunos, e um programa de embaixadores da comunicação em cada turma para garantir que ninguém fique de fora — especialmente os alunos sem acesso à internet em casa.","[""9 — Indústria, Inovação e Infraestrutura"",""4 — Educação de Qualidade"",""10 — Redução das Desigualdades""]","[""16 — Paz, Justiça e Instituições Eficazes"",""17 — Parcerias e Meios de Implementação""]",Transformadora,"Combina múltiplos canais (app, painel físico, chatbot de IA e embaixadores humanos) garantindo que nenhum aluno fique excluído, inclusive os sem acesso à internet — um sistema robusto e inclusivo.","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Essencial""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Essencial""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Essencial""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Essencial""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Essencial""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Essencial""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Essencial""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Essencial""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Essencial""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Essencial""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Essencial""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Recomendada""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Essencial""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Essencial""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Essencial""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Recomendada""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Essencial""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Essencial""}]",1784230454416,1784230454416,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
alt-robo-conselheiro-a,desafio-robo-conselheiro,A,"A Cartilha de Segurança Digital: criar uma cartilha impressa com dicas simples de segurança digital: como identificar golpes, criar senhas fortes, acessar serviços públicos online. A cartilha seria distribuída na feira livre do bairro e no posto de saúde.","[""4 — Educação de Qualidade""]","[""16 — Paz, Justiça e Instituições Eficazes""]",Paliativa,"Distribui informação de forma pontual e impressa, ajudando momentaneamente, mas sem acompanhar as dúvidas contínuas dos moradores nem se adaptar a novos golpes.","[{""etapa"":""Definir o problema e a causa raiz"",""classificacao"":""Essencial""},{""etapa"":""Definir o público-alvo"",""classificacao"":""Recomendada""},{""etapa"":""Estabelecer metas e indicadores de sucesso"",""classificacao"":""Recomendada""},{""etapa"":""Levantar recursos necessários (tempo, dinheiro, materiais)"",""classificacao"":""Essencial""},{""etapa"":""Buscar parceiros e apoiadores"",""classificacao"":""Irrelevante""},{""etapa"":""Coletar dados e evidências"",""classificacao"":""Essencial""},{""etapa"":""Elaborar cronograma de execução"",""classificacao"":""Irrelevante""},{""etapa"":""Identificar riscos e planos de contingência"",""classificacao"":""Essencial""},{""etapa"":""Planejar a comunicação/divulgação"",""classificacao"":""Essencial""},{""etapa"":""Planejar a validação com o público-alvo"",""classificacao"":""Recomendada""}]","[{""ferramenta"":""Formulário de pesquisa/entrevista"",""classificacao"":""Recomendada""},{""ferramenta"":""Planilha de orçamento"",""classificacao"":""Irrelevante""},{""ferramenta"":""Protótipo/maquete física"",""classificacao"":""Essencial""},{""ferramenta"":""Prototipagem digital (Figma, Canva etc.)"",""classificacao"":""Essencial""},{""ferramenta"":""Aplicativo ou site"",""classificacao"":""Irrelevante""},{""ferramenta"":""Rede social para divulgação"",""classificacao"":""Recomendada""},{""ferramenta"":""Vídeo/pitch em vídeo"",""classificacao"":""Recomendada""},{""ferramenta"":""Cronograma de tarefas (Trello, Kanban etc.)"",""classificacao"":""Irrelevante""},{""ferramenta"":""Ferramenta de Inteligência Artificial"",""classificacao"":""Essencial""},{""ferramenta"":""Parcerias institucionais (ONG, prefeitura, empresa)"",""classificacao"":""Recomendada""}]",1784230454416,1784230454416,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_alternativas
